,Package_Type,Duration_Days,Duration_Nights,Starting_Location,Destination_Cities,Destination_Cities_Count,Included_Activities,Hotel_Ratings,Original_Price_INR,Deal_Price_INR,Discount_Percentage
848,orth India Tour Package,10,9,Shimla,"Shimla ,Manali ,Dharamshala ,Dalhousie ,Amritsar ",5,Adventure Nature Hill station Budget,3,32608,29999,8
849,These alhousie Package,3,2,Dalhousie,Dalhousie ,1,Lake Adventure Golf  Course Hill station Paragliding ,3,29419,27360,7
850,Mesmerising Uttarakhand Tour,4,3,Mussoorie,"Mussoorie ,Rishikesh ",2,Sightseeing Religious Rishikesh Nature Hills Hill station ,3,16153,14699,9
851,Mesmerizing Manali Honeymoon,5,4,Manali,Manali ,1,Solang  Valley Nature Rohtang  Pass Water  ,3,25065,22809,9
852,Mesmerising Meghalaya Sightseeing Tour Package,4,3,Shillong,"Shillong ,Mawlynnong ",2,Umiam  Lake Adventure Don  Bosco  Museum ,2,20329,18499,9
853,    Chikmagalur Tour Package,3,2,Chikmagalur,Chikmagalur ,1,Nature Trekking Sightseeing Adventure Hill station Waterfall ,3,18037,16774,7
854,A Stupendous Rishikesh Sightseeing Tour Package,4,3,Mussoorie,"Mussoorie ,Rishikesh ",2,Road  Trip Sightseeing Rishikesh Water  Activities ,3,16153,14699,9
855,Kashmir Tour Package,5,4,Srinagar,"Srinagar ,Gulmarg ,Pahalgam ",3,Shikara  Ride Nature Gondola  Ride Adventure ,3,19129,17981,6
856,A Thrilling Manali Tour Package,5,4,Manali,Manali ,1,Road  Trip Nature Himalayas Adventure Hill station ,4,25081,22824,9
857,Thrilling haramshala Tour Package,4,3,Dharamshala,"Dharamshala ,Kangra ",2,Sightseeing Nature Himalayas Hill station Adventure Waterfall ,3,18880,16992,10
858,Uttarakhand Limited Period Offer Tour Package,3,2,Mussoorie,Mussoorie ,1,Adventure Nature Hill station,3,13125,10500,20
859,Get Enchanted By The Beauty Of Jaisalmer,3,2,Jaisalmer,Jaisalmer ,1,jaisalmer fort Religious Camel  Safari Historical Desert  ,3,17582,16000,9
860,Sensational Ranthambore Sightseeing Tour Package,3,2,Ranthambore,Ranthambore ,1,Sightseeing Adventure Wildlife Historical Safarilandscape Budget,3,4945,4500,9
861,Exotic Munnar Alleppey Kovalam Honeymoon,7,6,Cochin,"Cochin ,Munnar ,Alleppey ,Kovalam ",4,Adventure Sightseeing Cruises Nature Houseboat  Stay ,3,26452,24600,7
862,Jaipur Udaipur Family Tour Package,5,4,Jaipur,"Jaipur ,Udaipur ",2,Adventure Nature Sightseeing,3,38788,32000,18
863,Alleppey Houseboat Honeymoon,2,1,Alleppey,Alleppey ,1,shopping Adventure Nature,3,7581,6975,8
864,Pleasurable orth East Tour Package,5,4,Shillong,"Shillong ,Cherrapunjee ,Guwahati ",3,Hill  Station Nature Sightseeing Hill station Caves ,3,27472,25000,9
865,ive Into The Ethereal Beauty Of Shimla & Manali ,6,5,Shimla,"Shimla ,Manali ",2,Hill  Station Hill station Temple Nature Rohtang  ,4,65739,60480,8
866,Experience The Bliss With Goa Tour,6,5,Goa,Goa ,1,Adventure  Activities Nature Sightseeing Adventure Temple ,4,21978,20000,9
867,A Fantastic Tour Amid ature In Munnar,4,3,Munnar,Munnar ,1,Sightseeing Water  Activities Adventure  Activities Nature ,3,12304,11197,9
868,Scintillating Uttarakhand Honeymoon,8,7,Haridwar,"Haridwar ,Mussoorie ,Ranikhet ,Kausani ,Nainital ",5,Temples Lal  Tibba Gun  Hill Adventure ,3,31153,28349,9
869,A Fun Filled Trip To Madhya Pradesh,6,5,Jabalpur,"Jabalpur ,Kanha National Park ,Pachmarhi ",3,National  Park Nature Sightseeing  Tours Water  ,3,29780,27100,9
870,Golden Triangle Tour Package,2,1,New Delhi,New Delhi ,1,Adventure Nature Religious Budget,3,11702,11000,6
871,Alluring Assam Sightseeing Tour Package,6,5,Kaziranga,"Kaziranga ,Shillong ,Guwahati ",3,Sightseeing Historical Kaziranga  National  Park Adventure ,2,31318,28499,9
872,Top-Selling Chennai Sightseeing Package,3,2,Chennai,"Chennai ,Mahabalipuram ",2,Temple Religiousart gallery Historical Marina  Beach Sightseeing ,3,16959,15433,9
873,Spectacular Shillong Holiday Package,3,2,Shillong,Shillong ,1,Sightseeing Nature Temples Adventure Hills Hill station ,3,13736,12500,9
874,Blissful Munnar Thekkady Alleppey Honeymoon,6,5,Munnar,"Munnar ,Thekkady ,Kumarakom ,Alleppey ",4,Hill station Houseboat  Stay Wildlife Beach  Walk ,3,20909,18400,12
